
---------- Begin Simulation Statistics ----------
final_tick                                  947390000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  25429                       # Simulator instruction rate (inst/s)
host_mem_usage                                2211552                       # Number of bytes of host memory used
host_op_rate                                    46392                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     1.95                       # Real time elapsed on the host
host_tick_rate                              486977198                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       49462                       # Number of instructions simulated
sim_ops                                         90251                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000947                       # Number of seconds simulated
sim_ticks                                   947390000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     51712                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    39756                       # number of cc regfile writes
system.cpu.committedInsts                       49462                       # Number of Instructions Simulated
system.cpu.committedOps                         90251                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                              19.153916                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                        19.153916                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                      1408                       # number of floating regfile reads
system.cpu.fp_regfile_writes                      664                       # number of floating regfile writes
system.cpu.idleCycles                          532521                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  511                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                    10463                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.104201                       # Inst execution rate
system.cpu.iew.exec_refs                         5803                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       2096                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    1534                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                  2808                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  2                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 1                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 2397                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts              100258                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                  3707                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               193                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                 98719                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      4                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  2773                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    502                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  2905                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             15                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          451                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             60                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                     72259                       # num instructions consuming a value
system.cpu.iew.wb_count                         96600                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.892415                       # average fanout of values written-back
system.cpu.iew.wb_producers                     64485                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.101964                       # insts written-back per cycle
system.cpu.iew.wb_sent                          96728                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                   131588                       # number of integer regfile reads
system.cpu.int_regfile_writes                   82954                       # number of integer regfile writes
system.cpu.ipc                               0.052209                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.052209                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               610      0.62%      0.62% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                 91877     92.89%     93.50% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.01%     93.51% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.02%     93.53% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 136      0.14%     93.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     93.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     93.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     93.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     93.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     93.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     93.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     93.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     93.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     93.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  118      0.12%     93.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     93.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   46      0.05%     93.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 216      0.22%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     94.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     94.05% # Type of FU issued
