
---------- Begin Simulation Statistics ----------
final_tick                                  948672000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  26783                       # Simulator instruction rate (inst/s)
host_mem_usage                                2209500                       # Number of bytes of host memory used
host_op_rate                                    48863                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     1.85                       # Real time elapsed on the host
host_tick_rate                              513606852                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       49462                       # Number of instructions simulated
sim_ops                                         90251                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000949                       # Number of seconds simulated
sim_ticks                                   948672000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     51821                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    39855                       # number of cc regfile writes
system.cpu.committedInsts                       49462                       # Number of Instructions Simulated
system.cpu.committedOps                         90251                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                              19.179835                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                        19.179835                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                      1384                       # number of floating regfile reads
system.cpu.fp_regfile_writes                      656                       # number of floating regfile writes
system.cpu.idleCycles                          533404                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  552                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                    10475                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.104624                       # Inst execution rate
system.cpu.iew.exec_refs                         6068                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       2103                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    1709                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                  2947                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  2                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 1                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 2436                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts              100916                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                  3965                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               208                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                 99254                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      5                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  2740                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    538                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  2873                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             14                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          481                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             71                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                     72533                       # num instructions consuming a value
system.cpu.iew.wb_count                         96861                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.892325                       # average fanout of values written-back
system.cpu.iew.wb_producers                     64723                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.102102                       # insts written-back per cycle
system.cpu.iew.wb_sent                          96996                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                   132129                       # number of integer regfile reads
system.cpu.int_regfile_writes                   83206                       # number of integer regfile writes
system.cpu.ipc                               0.052138                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.052138                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               615      0.62%      0.62% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                 92156     92.65%     93.27% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.01%     93.28% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.02%     93.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 136      0.14%     93.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     93.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     93.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     93.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     93.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     93.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     93.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     93.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     93.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     93.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  110      0.11%     93.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     93.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   46      0.05%     93.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 216      0.22%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     93.81% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead                 3873      3.89%     97.70% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite                1633      1.64%     99.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead             157      0.16%     99.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite            494      0.50%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
