
---------- Begin Simulation Statistics ----------
final_tick                                  950386000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  26884                       # Simulator instruction rate (inst/s)
host_mem_usage                                2209500                       # Number of bytes of host memory used
host_op_rate                                    49047                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     1.84                       # Real time elapsed on the host
host_tick_rate                              516480150                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       49462                       # Number of instructions simulated
sim_ops                                         90251                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000950                       # Number of seconds simulated
sim_ticks                                   950386000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     51480                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    39587                       # number of cc regfile writes
system.cpu.committedInsts                       49462                       # Number of Instructions Simulated
system.cpu.committedOps                         90251                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                              19.214488                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                        19.214488                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                      1504                       # number of floating regfile reads
system.cpu.fp_regfile_writes                      696                       # number of floating regfile writes
system.cpu.idleCycles                          534678                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  617                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                    10430                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.103596                       # Inst execution rate
system.cpu.iew.exec_refs                         5692                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       2138                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    1376                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                  2784                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  2                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 1                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 2399                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts              100122                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                  3554                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               211                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                 98456                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      8                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  2750                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    594                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  2875                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             14                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          546                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             71                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                     71965                       # num instructions consuming a value
system.cpu.iew.wb_count                         96460                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.893990                       # average fanout of values written-back
system.cpu.iew.wb_producers                     64336                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.101495                       # insts written-back per cycle
system.cpu.iew.wb_sent                          96620                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                   131232                       # number of integer regfile reads
system.cpu.int_regfile_writes                   82768                       # number of integer regfile writes
system.cpu.ipc                               0.052044                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.052044                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               647      0.66%      0.66% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                 91661     92.90%     93.56% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.01%     93.56% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.02%     93.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 136      0.14%     93.72% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     93.72% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     93.72% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     93.72% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     93.72% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     93.72% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     93.72% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     93.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     93.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     93.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  150      0.15%     93.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     93.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   46      0.05%     93.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 216      0.22%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     94.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     94.14% # Type of FU issued
