
---------- Begin Simulation Statistics ----------
final_tick                                  140903000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  35716                       # Simulator instruction rate (inst/s)
host_mem_usage                                2210532                       # Number of bytes of host memory used
host_op_rate                                    70662                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     0.64                       # Real time elapsed on the host
host_tick_rate                              221631857                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       22698                       # Number of instructions simulated
sim_ops                                         44920                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000141                       # Number of seconds simulated
sim_ticks                                   140903000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     24774                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    31235                       # number of cc regfile writes
system.cpu.committedInsts                       22698                       # Number of Instructions Simulated
system.cpu.committedOps                         44920                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               6.207772                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         6.207772                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                      1610                       # number of floating regfile reads
system.cpu.fp_regfile_writes                      731                       # number of floating regfile writes
system.cpu.idleCycles                           54760                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  807                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     4348                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.387668                       # Inst execution rate
system.cpu.iew.exec_refs                         7918                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       2192                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    2842                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                  5255                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  1                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                18                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 2541                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts               57363                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                  5726                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               230                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                 54624                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                     92                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  2576                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    775                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  2901                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             15                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          775                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             32                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                     55082                       # num instructions consuming a value
system.cpu.iew.wb_count                         52542                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.736938                       # average fanout of values written-back
system.cpu.iew.wb_producers                     40592                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.372892                       # insts written-back per cycle
system.cpu.iew.wb_sent                          52708                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                    73091                       # number of integer regfile reads
system.cpu.int_regfile_writes                   44827                       # number of integer regfile writes
system.cpu.ipc                               0.161088                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.161088                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               654      1.19%      1.19% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                 45601     83.13%     84.32% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.01%     84.33% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.04%     84.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 136      0.25%     84.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     84.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     84.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     84.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     84.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     84.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     84.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     84.62% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     84.62% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     84.62% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  186      0.34%     84.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     84.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   46      0.08%     85.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 216      0.39%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     85.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     85.44% # Type of FU issued
