
---------- Begin Simulation Statistics ----------
final_tick                                 1019607000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  27120                       # Simulator instruction rate (inst/s)
host_mem_usage                                2209500                       # Number of bytes of host memory used
host_op_rate                                    54132                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     4.54                       # Real time elapsed on the host
host_tick_rate                              224764281                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                      123018                       # Number of instructions simulated
sim_ops                                        245559                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.001020                       # Number of seconds simulated
sim_ticks                                  1019607000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     92746                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    72713                       # number of cc regfile writes
system.cpu.committedInsts                      123018                       # Number of Instructions Simulated
system.cpu.committedOps                        245559                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               8.288283                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         8.288283                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    116145                       # number of floating regfile reads
system.cpu.fp_regfile_writes                    99046                       # number of floating regfile writes
system.cpu.idleCycles                           39226                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  535                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                    18660                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.251603                       # Inst execution rate
system.cpu.iew.exec_refs                        56678                       # number of memory reference insts executed
system.cpu.iew.exec_stores                      18512                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    2075                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                 35810                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  2                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 8                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                18872                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts              256977                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                 38166                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               207                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                256536                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                     31                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  2747                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    527                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  2910                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             19                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          494                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             41                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                    187654                       # num instructions consuming a value
system.cpu.iew.wb_count                        252735                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.782616                       # average fanout of values written-back
system.cpu.iew.wb_producers                    146861                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.247875                       # insts written-back per cycle
system.cpu.iew.wb_sent                         252877                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                   233430                       # number of integer regfile reads
system.cpu.int_regfile_writes                  116134                       # number of integer regfile writes
system.cpu.ipc                               0.120652                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.120652                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               587      0.23%      0.23% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                133252     51.90%     52.13% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.00%     52.13% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.01%     52.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               32950     12.83%     64.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     64.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     64.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     64.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     64.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     64.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     64.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     64.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     64.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     64.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  112      0.04%     65.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     65.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   46      0.02%     65.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 218      0.08%     65.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     65.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     65.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     65.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     65.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     65.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     65.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd           16394      6.39%     71.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     71.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     71.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               2      0.00%     71.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     71.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     71.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          16391      6.38%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead                 4191      1.63%     79.52% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite                1644      0.64%     80.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead           34044     13.26%     93.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite          16886      6.58%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total                 256743                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                  117210                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads              234404                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses       115975                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes             116333                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                         170                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.000662                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                      69     40.59%     40.59% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     40.59% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     40.59% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     40.59% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     40.59% # attempts to use FU when none available
