
---------- Begin Simulation Statistics ----------
final_tick                                 1020771000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  25818                       # Simulator instruction rate (inst/s)
host_mem_usage                                2209504                       # Number of bytes of host memory used
host_op_rate                                    51532                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     4.77                       # Real time elapsed on the host
host_tick_rate                              214209195                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                      123018                       # Number of instructions simulated
sim_ops                                        245559                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.001021                       # Number of seconds simulated
sim_ticks                                  1020771000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     92281                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    72361                       # number of cc regfile writes
system.cpu.committedInsts                      123018                       # Number of Instructions Simulated
system.cpu.committedOps                        245559                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               8.297745                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         8.297745                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    116216                       # number of floating regfile reads
system.cpu.fp_regfile_writes                    99054                       # number of floating regfile writes
system.cpu.idleCycles                           39881                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  612                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                    18593                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.250166                       # Inst execution rate
system.cpu.iew.exec_refs                        56127                       # number of memory reference insts executed
system.cpu.iew.exec_stores                      18537                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    1489                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                 35625                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  2                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 9                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                18825                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts              255940                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                 37590                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               223                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                255362                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                     12                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  2738                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    599                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  2872                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             19                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          572                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             40                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                    186780                       # num instructions consuming a value
system.cpu.iew.wb_count                        252082                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.783103                       # average fanout of values written-back
system.cpu.iew.wb_producers                    146268                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.246952                       # insts written-back per cycle
system.cpu.iew.wb_sent                         252291                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                   231974                       # number of integer regfile reads
system.cpu.int_regfile_writes                  115517                       # number of integer regfile writes
system.cpu.ipc                               0.120515                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.120515                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               654      0.26%      0.26% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                132558     51.86%     52.12% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.00%     52.12% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.01%     52.13% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               32938     12.89%     65.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     65.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     65.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     65.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     65.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     65.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     65.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     65.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     65.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     65.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  152      0.06%     65.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     65.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   46      0.02%     65.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 218      0.09%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd           16387      6.41%     71.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     71.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     71.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               2      0.00%     71.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     71.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     71.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          16384      6.41%     78.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     78.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     78.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     78.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     78.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     78.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     78.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     78.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     78.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     78.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     78.00% # Type of FU issued
