
---------- Begin Simulation Statistics ----------
final_tick                                  186732000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  23974                       # Simulator instruction rate (inst/s)
host_mem_usage                                2210528                       # Number of bytes of host memory used
host_op_rate                                   143008                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     1.20                       # Real time elapsed on the host
host_tick_rate                              155432886                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       28794                       # Number of instructions simulated
sim_ops                                        171798                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000187                       # Number of seconds simulated
sim_ticks                                   186732000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                    235926                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    48165                       # number of cc regfile writes
system.cpu.committedInsts                       28794                       # Number of Instructions Simulated
system.cpu.committedOps                        171798                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               6.485136                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         6.485136                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                      1388                       # number of floating regfile reads
system.cpu.fp_regfile_writes                      653                       # number of floating regfile writes
system.cpu.idleCycles                           46078                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  545                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                    10425                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.971858                       # Inst execution rate
system.cpu.iew.exec_refs                         6211                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       2126                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    2206                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                  3118                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  3                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 1                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 2583                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts              183806                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                  4085                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               251                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                181478                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                     18                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  1160                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    525                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  1215                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             15                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          497                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             48                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                    410982                       # num instructions consuming a value
system.cpu.iew.wb_count                        178974                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.382540                       # average fanout of values written-back
system.cpu.iew.wb_producers                    157217                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.958449                       # insts written-back per cycle
system.cpu.iew.wb_sent                         179119                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                   390331                       # number of integer regfile reads
system.cpu.int_regfile_writes                  222642                       # number of integer regfile writes
system.cpu.ipc                               0.154199                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.154199                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass              4736      2.61%      2.61% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                141472     77.85%     80.45% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    6      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 28693     15.79%     96.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 135      0.07%     96.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     96.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     96.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     96.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     96.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     96.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     96.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     96.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     96.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     96.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  110      0.06%     96.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     96.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   46      0.03%     96.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 215      0.12%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     96.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     96.52% # Type of FU issued
