
---------- Begin Simulation Statistics ----------
final_tick                                  108241000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  55449                       # Simulator instruction rate (inst/s)
host_mem_usage                                2211552                       # Number of bytes of host memory used
host_op_rate                                   110013                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     0.59                       # Real time elapsed on the host
host_tick_rate                              181982000                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       32964                       # Number of instructions simulated
sim_ops                                         65429                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000108                       # Number of seconds simulated
sim_ticks                                   108241000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     20129                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    14747                       # number of cc regfile writes
system.cpu.committedInsts                       32964                       # Number of Instructions Simulated
system.cpu.committedOps                         65429                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               3.283643                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         3.283643                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                     99822                       # number of floating regfile reads
system.cpu.fp_regfile_writes                    37588                       # number of floating regfile writes
system.cpu.idleCycles                           39800                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  488                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     4173                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.667098                       # Inst execution rate
system.cpu.iew.exec_refs                         5032                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       2035                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    1162                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                  2466                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  2                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 1                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 2213                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts               73686                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                  2997                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               160                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                 72208                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      4                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  2795                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    481                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  2922                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             15                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          432                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             56                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                     91430                       # num instructions consuming a value
system.cpu.iew.wb_count                         70804                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.649524                       # average fanout of values written-back
system.cpu.iew.wb_producers                     59386                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.654127                       # insts written-back per cycle
system.cpu.iew.wb_sent                          70931                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                    43532                       # number of integer regfile reads
system.cpu.int_regfile_writes                   26604                       # number of integer regfile writes
system.cpu.ipc                               0.304540                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.304540                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               597      0.82%      0.82% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                 41524     57.38%     58.20% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    7      0.01%     58.21% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.03%     58.24% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 138      0.19%     58.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     58.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     58.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     58.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     58.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     58.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     58.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     58.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                24590     33.98%     92.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     92.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  106      0.15%     92.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     92.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   46      0.06%     92.62% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 252      0.35%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     92.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     92.97% # Type of FU issued
