
---------- Begin Simulation Statistics ----------
final_tick                                  109466000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  63851                       # Simulator instruction rate (inst/s)
host_mem_usage                                2209500                       # Number of bytes of host memory used
host_op_rate                                   126678                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     0.52                       # Real time elapsed on the host
host_tick_rate                              211919091                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       32964                       # Number of instructions simulated
sim_ops                                         65429                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000109                       # Number of seconds simulated
sim_ticks                                   109466000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     20837                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    15258                       # number of cc regfile writes
system.cpu.committedInsts                       32964                       # Number of Instructions Simulated
system.cpu.committedOps                         65429                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               3.320805                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         3.320805                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                     99829                       # number of floating regfile reads
system.cpu.fp_regfile_writes                    37591                       # number of floating regfile writes
system.cpu.idleCycles                           40758                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  526                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     4269                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.680214                       # Inst execution rate
system.cpu.iew.exec_refs                         6044                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       2090                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    1717                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                  2957                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  2                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 3                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 2429                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts               76199                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                  3954                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               227                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                 74461                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      5                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  2742                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    515                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  2876                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             15                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          487                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             39                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                     92746                       # num instructions consuming a value
system.cpu.iew.wb_count                         72087                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.651769                       # average fanout of values written-back
system.cpu.iew.wb_producers                     60449                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.658527                       # insts written-back per cycle
system.cpu.iew.wb_sent                          72221                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                    45864                       # number of integer regfile reads
system.cpu.int_regfile_writes                   27757                       # number of integer regfile writes
system.cpu.ipc                               0.301132                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.301132                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               580      0.78%      0.78% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                 42807     57.31%     58.09% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    7      0.01%     58.10% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.03%     58.13% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 138      0.18%     58.31% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     58.31% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     58.31% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     58.31% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     58.31% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     58.31% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     58.31% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     58.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                24590     32.92%     91.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     91.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  106      0.14%     91.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     91.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   46      0.06%     91.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 255      0.34%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     91.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     91.78% # Type of FU issued
