
---------- Begin Simulation Statistics ----------
final_tick                                  692078000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  45202                       # Simulator instruction rate (inst/s)
host_mem_usage                                2210528                       # Number of bytes of host memory used
host_op_rate                                   107452                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     2.87                       # Real time elapsed on the host
host_tick_rate                              240738291                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                      129935                       # Number of instructions simulated
sim_ops                                        308899                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000692                       # Number of seconds simulated
sim_ticks                                   692078000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     21560                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    15198                       # number of cc regfile writes
system.cpu.committedInsts                      129935                       # Number of Instructions Simulated
system.cpu.committedOps                        308899                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               5.326348                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         5.326348                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    535818                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   280203                       # number of floating regfile writes
system.cpu.idleCycles                          219022                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  934                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     4583                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.515999                       # Inst execution rate
system.cpu.iew.exec_refs                        77759                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       2183                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    1424                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                 36068                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  2                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 1                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 2512                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts              321123                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                 75576                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               324                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                357112                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      0                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  2634                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    821                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  2752                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             14                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          875                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             59                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                    396115                       # num instructions consuming a value
system.cpu.iew.wb_count                        315885                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.590382                       # average fanout of values written-back
system.cpu.iew.wb_producers                    233859                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.456429                       # insts written-back per cycle
system.cpu.iew.wb_sent                         316078                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                   190630                       # number of integer regfile reads
system.cpu.int_regfile_writes                   28375                       # number of integer regfile writes
system.cpu.ipc                               0.187746                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.187746                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               945      0.26%      0.26% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                137874     38.57%     38.84% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.00%     38.84% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.01%     38.84% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 291      0.08%     38.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     38.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     38.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     38.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     38.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     38.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     38.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     38.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                41152     11.51%     50.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     50.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  318      0.09%     50.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     50.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   46      0.01%     50.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               98616     27.59%     78.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     78.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     78.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                283      0.08%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     78.21% # Type of FU issued
