
---------- Begin Simulation Statistics ----------
final_tick                                  680489000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  46081                       # Simulator instruction rate (inst/s)
host_mem_usage                                2209500                       # Number of bytes of host memory used
host_op_rate                                   109541                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     2.82                       # Real time elapsed on the host
host_tick_rate                              241308335                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                      129935                       # Number of instructions simulated
sim_ops                                        308899                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000680                       # Number of seconds simulated
sim_ticks                                   680489000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     21022                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    14980                       # number of cc regfile writes
system.cpu.committedInsts                      129935                       # Number of Instructions Simulated
system.cpu.committedOps                        308899                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               5.237157                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         5.237157                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    535568                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   280007                       # number of floating regfile writes
system.cpu.idleCycles                          212386                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  568                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     4306                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.520202                       # Inst execution rate
system.cpu.iew.exec_refs                        76777                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       1939                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    1441                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                 35442                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  2                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 1                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 2157                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts              316804                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                 74838                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               183                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                353992                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      4                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  2867                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    548                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  2990                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             14                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          493                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             75                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                    394060                       # num instructions consuming a value
system.cpu.iew.wb_count                        313511                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.589730                       # average fanout of values written-back
system.cpu.iew.wb_producers                    232389                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.460714                       # insts written-back per cycle
system.cpu.iew.wb_sent                         313663                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                   187123                       # number of integer regfile reads
system.cpu.int_regfile_writes                   26781                       # number of integer regfile writes
system.cpu.ipc                               0.190943                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.190943                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               736      0.21%      0.21% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                136125     38.43%     38.64% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.00%     38.64% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.01%     38.65% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 180      0.05%     38.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     38.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     38.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     38.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     38.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     38.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     38.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     38.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                41152     11.62%     50.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     50.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  238      0.07%     50.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     50.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   46      0.01%     50.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               98616     27.84%     78.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     78.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     78.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                203      0.06%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     78.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     78.30% # Type of FU issued
