
---------- Begin Simulation Statistics ----------
final_tick                                  680929000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  45692                       # Simulator instruction rate (inst/s)
host_mem_usage                                2210528                       # Number of bytes of host memory used
host_op_rate                                   108618                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     2.84                       # Real time elapsed on the host
host_tick_rate                              239429550                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                      129935                       # Number of instructions simulated
sim_ops                                        308899                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000681                       # Number of seconds simulated
sim_ticks                                   680929000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     20935                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    14860                       # number of cc regfile writes
system.cpu.committedInsts                      129935                       # Number of Instructions Simulated
system.cpu.committedOps                        308899                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               5.240543                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         5.240543                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    535682                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   280047                       # number of floating regfile writes
system.cpu.idleCycles                          211929                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  600                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     4310                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.519930                       # Inst execution rate
system.cpu.iew.exec_refs                        76842                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       2021                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    1123                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                 35416                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  2                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 1                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 2246                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts              316719                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                 74821                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               171                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                354036                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      4                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  2840                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    580                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  2958                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             14                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          533                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             67                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                    393923                       # num instructions consuming a value
system.cpu.iew.wb_count                        313554                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.589872                       # average fanout of values written-back
system.cpu.iew.wb_producers                    232364                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.460479                       # insts written-back per cycle
system.cpu.iew.wb_sent                         313721                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                   187125                       # number of integer regfile reads
system.cpu.int_regfile_writes                   26702                       # number of integer regfile writes
system.cpu.ipc                               0.190820                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.190820                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               751      0.21%      0.21% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                136035     38.41%     38.62% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.00%     38.62% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.01%     38.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 183      0.05%     38.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     38.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     38.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     38.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     38.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     38.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     38.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     38.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                41152     11.62%     50.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     50.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  278      0.08%     50.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     50.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   46      0.01%     50.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               98616     27.84%     78.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     78.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     78.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                204      0.06%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     78.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     78.29% # Type of FU issued
